mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778267518.991454,1382433,-11.73,18.95,5.41,-250.14,60.13,-250.14
1778267519.0066419,1382455,-12.00,-19.62,19.62,-205.87,34.02,-246.98
1778267519.0212297,1382477,-15.27,6.52,15.58,-218.05,-50.13,-154.89
1778267519.0516477,1382499,-8.10,6.64,13.77,-168.11,-33.34,-53.24
1778267519.065714,1382521,-5.73,5.36,6.40,-85.06,-31.90,-34.50
1778267519.0810626,1382543,-4.85,4.37,8.61,-110.40,-44.37,-35.81
1778267519.1116877,1382565,-4.72,3.15,8.52,-65.76,-27.77,-24.83
1778267519.126094,1382587,-4.72,2.67,7.70,-24.12,-10.97,-9.38
1778267519.1559627,1382609,-4.45,3.43,6.87,-11.85,-1.54,-2.73
1778267519.1712854,1382631,-4.41,3.72,6.51,-9.27,1.81,-2.90
1778267519.2015717,1382653,-4.21,3.56,6.77,-7.44,3.76,-3.05
1778267519.2156978,1382675,-4.28,3.54,6.62,-7.60,6.65,-4.93
1778267519.2469652,1382697,-4.59,3.61,6.67,-10.00,4.92,-8.08
1778267519.2614472,1382719,-4.37,3.36,6.61,-7.97,4.38,-10.62
1778267519.2905898,1382741,-4.38,3.38,7.02,-6.99,3.14,-12.09
1778267519.3056726,1382763,-4.44,3.46,6.81,-8.12,2.92,-12.64
1778267519.3372028,1382785,-4.49,3.28,6.72,-6.83,4.41,-15.87
1778267519.352737,1382807,-4.57,3.48,6.64,-6.37,3.64,-19.39
1778267519.381178,1382829,-4.60,3.13,6.74,-7.11,5.68,-21.20
1778267519.395964,1382851,-5.21,3.49,7.53,-4.42,11.71,-19.40
1778267519.4111645,1382873,-4.46,2.97,6.98,-3.61,17.09,-19.64
1778267519.4416919,1382895,-4.02,2.87,6.89,-3.67,26.99,-17.98
1778267519.4858267,1382917,-4.28,3.30,6.87,0.11,41.94,-21.22
1778267519.4874222,1382939,-4.39,3.05,7.01,2.13,64.31,-29.60
1778267519.5470972,1382961,-4.35,3.36,7.10,0.94,88.62,-37.24
1778267519.549126,1382983,-4.23,3.31,7.06,-16.72,107.49,-44.01
1778267519.5508144,1383005,-4.52,3.24,6.34,-5.72,158.24,-65.05
1778267519.606154,1383027,-5.02,4.39,6.36,-25.81,211.88,-96.36
1778267519.6077983,1383049,-4.31,3.68,6.13,-39.58,250.13,-142.18
1778267519.6664488,1383071,-6.82,8.15,3.97,-120.08,250.13,-225.73
1778267519.6688187,1383093,-15.17,4.70,9.35,-168.03,250.13,-250.14
1778267519.6698513,1383115,-19.62,2.88,8.16,-148.69,250.13,-250.14
1778267519.726084,1383137,-19.62,5.02,12.10,-133.45,250.13,-250.14
1778267519.727423,1383159,-18.75,13.14,14.88,-112.83,206.98,-250.14
1778267519.7283995,1383181,-3.35,14.79,15.45,-77.90,121.50,-197.13
1778267519.7867513,1383203,-17.83,9.12,19.62,-11.06,15.59,-71.40
1778267519.7881503,1383225,-6.26,9.86,8.65,113.15,-131.51,93.03
1778267519.789192,1383247,-3.03,6.19,4.80,92.54,-196.61,134.05
1778267519.847051,1383269,-2.48,3.61,2.41,78.75,-224.07,137.37
1778267519.8488343,1383291,-2.39,2.48,1.58,94.02,-230.65,140.06
1778267519.9063485,1383313,-2.16,2.56,1.47,114.16,-215.14,144.50
1778267519.9079132,1383335,-4.87,4.09,3.39,138.13,-200.21,165.70
1778267519.9086843,1383357,-7.88,5.31,5.28,145.08,-208.98,198.79
1778267519.9681208,1383379,-9.89,5.10,6.27,149.47,-221.67,228.15
1778267519.9698038,1383401,-10.78,4.57,5.95,167.69,-220.76,250.13
1778267519.9708726,1383423,-12.49,5.94,7.56,178.15,-199.21,250.13
1778267520.0272236,1383445,-16.18,7.14,9.83,179.98,-174.36,250.13
1778267520.0286794,1383467,-19.62,1.88,10.57,199.66,-144.79,250.13
1778267520.0298848,1383489,-19.62,-0.45,11.31,229.71,-103.65,250.13
1778267520.0876567,1383511,-19.62,-7.66,9.62,236.86,-93.36,249.44
1778267520.0889914,1383533,-19.62,-18.40,0.48,250.13,-45.71,204.15
1778267520.146892,1383555,-19.62,-19.62,-2.02,250.13,116.71,178.34
1778267520.148212,1383577,-0.16,-0.73,-5.81,41.97,131.74,-14.11
1778267520.149474,1383599,-14.99,19.62,3.12,-250.14,46.46,-250.14
1778267520.2064273,1383621,-18.99,-8.56,16.28,-250.14,19.66,-217.01
1778267520.266113,1383643,-12.86,2.95,16.94,-207.41,-83.71,-160.01
1778267520.2678423,1383665,-5.56,-3.05,11.20,-140.47,-42.17,-53.84
1778267520.2687528,1383687,-6.35,7.43,4.57,-108.18,-39.69,-41.53
1778267520.270313,1383709,-4.92,3.03,7.74,-95.31,-37.40,-39.22
1778267520.2711496,1383731,-4.70,1.73,8.73,-55.74,-27.19,-23.44
1778267520.3264577,1383753,-4.45,4.09,6.73,-14.79,-5.28,-5.18
