1236571,-4199,324,-7788,1098,970,-811,44.53
1236591,-4227,472,-7580,911,1055,-854,44.48
1236611,-4183,400,-7640,632,1025,-862,44.29
1236631,-4159,292,-7632,592,1120,-799,44.29
1236651,-4203,300,-7356,671,1109,-772,44.53
1236671,-4227,264,-7208,737,1025,-743,44.29
1236691,-4215,216,-7188,826,857,-708,44.48
1236711,-4099,288,-7084,839,824,-614,44.29
1236731,-4059,132,-7084,791,684,-578,44.39
1236751,-3939,76,-7056,774,650,-475,44.53
1236771,-3927,76,-7020,721,654,-482,44.29
1236791,-3983,96,-6980,733,614,-506,44.29
1236811,-3995,28,-6844,727,527,-604,44.48
1236831,-4191,104,-6860,763,448,-514,44.34
1236851,-4279,48,-6940,768,285,-458,44.39
1236871,-4183,-80,-6964,688,68,-291,44.29
1236891,-4055,-216,-7088,660,-70,-216,44.53
1236911,-3951,-272,-7256,786,-124,-178,44.67
1236931,-3943,-468,-7364,900,-205,-207,44.53
1236951,-3799,-464,-7516,965,-154,-218,44.20
1236971,-3791,-580,-7684,997,-142,-292,44.34
1236991,-3811,-516,-7660,975,-14,-418,44.39
1237011,-3971,-572,-7808,993,103,-608,44.29
1237031,-3955,-452,-7876,1048,245,-718,44.34
1237051,-4223,-320,-7772,1104,396,-755,44.20
1237071,-4259,-252,-7720,927,503,-805,44.29
1237091,-4719,-252,-7228,605,734,-774,44.39
1237111,-5127,-400,-6904,232,801,-842,44.34
1237131,-5347,-716,-6920,339,666,-979,44.20
1237151,-5427,-756,-6736,821,437,-1107,44.29
1237171,-5327,-528,-6328,1130,268,-1171,44.34
1237191,-5415,-384,-6068,1035,325,-1249,44.58
1237211,-5627,-228,-5548,587,330,-1384,44.15
1237231,-5463,4,-5540,65,-144,-1527,44.48
1237251,-5207,-344,-5492,-88,-542,-1403,44.29
1237271,-4975,-536,-5844,165,-1006,-917,44.34
1237291,-5291,-60,-5512,375,-1394,-730,44.20
1237311,-5579,64,-5504,439,-1728,-838,44.29
1237331,-5343,-292,-5840,547,-2104,-806,44.48
1237351,-5415,264,-5864,825,-2448,-440,44.53
1237371,-5447,396,-5692,688,-2742,-436,44.39
1237391,-5135,-184,-5752,415,-3338,96,44.34
1237411,-4719,-140,-6072,731,-3752,421,44.29
1237431,-4899,-144,-6104,1127,-3882,385,44.34
1237451,-4551,-220,-6328,1721,-4285,337,44.39
1237471,-3711,-148,-6516,2210,-4411,587,44.29
1237491,-3303,-44,-6332,2276,-4311,903,44.15
1237511,-2839,-8,-6056,1668,-4063,921,44.53
1237531,-2635,-320,-6352,1103,-3799,754,44.48
1237551,-2403,-668,-6172,1035,-3395,428,44.29
1237571,-2687,-416,-6020,1249,-3021,142,44.48
1237591,-2071,-568,-6076,1446,-3061,92,44.53
1237611,-1891,-304,-5804,1637,-2653,247,44.53
1237631,-2059,-204,-5712,1241,-2301,146,44.53
1237651,-1891,-320,-5632,823,-2072,131,44.58
1237671,-1551,-856,-4932,426,-2055,113,44.48
1237691,-1243,-968,-4924,358,-1863,62,44.53
1237711,-1227,-1076,-4960,664,-1425,-288,44.48
1237731,-1639,-932,-4444,971,-1121,-734,44.48
1237751,-1435,-536,-4072,1028,-915,-963,44.48
1237771,-1471,-624,-4144,1326,-358,-996,44.15
1237791,-1679,64,-3520,1085,21,-1030,44.58
1237811,-2023,316,-2964,-86,135,-1133,44.20
1237831,-2183,-428,-2896,-1614,-94,-726,44.48
1237851,-1887,488,-2584,-2602,-345,-292,44.53
1237871,-1795,-1468,-3284,-1324,-1418,184,44.29
1237891,-2311,-1432,-3348,700,-1290,274,44.53
1237911,-2495,-1128,-3464,2511,-834,-1110,44.29
1237931,-2507,-304,-3424,2837,-778,-602,44.39
1237951,-2475,-228,-3196,2144,-485,105,44.48
1237971,-2683,-12,-3516,1057,64,454,44.29
1237991,-2943,-240,-3548,-192,350,686,44.29
1238011,-2791,-328,-3360,-696,899,789,44.48
1238031,-2159,-576,-3328,-658,1287,853,44.48
1238051,-1411,-452,-3188,108,1984,977,44.34
1238071,-1303,-224,-2428,272,2391,879,44.53
1238091,-1275,116,-1852,22,2392,768,44.48
1238111,-1623,24,-1700,-385,2059,527,44.53
1238131,-2019,8,-1656,279,1688,666,44.58
1238151,-2207,140,-1660,789,1281,798,44.53
1238171,-2651,572,-1340,843,976,977,44.58
1238191,-3567,1236,-992,29,567,1352,44.53
1238211,-4363,1216,-980,-1366,-50,1699,44.29
1238231,-3507,604,-1716,-1897,-783,2368,44.53
1238251,-3063,256,-2132,-1355,-1059,3194,44.53
1238271,-2827,204,-2068,-1015,-1350,3866,44.34
1238291,-2843,276,-2004,-1100,-1458,4050,44.29
1238311,-2975,128,-2364,-1045,-1605,3882,44.53
1238331,-2847,416,-2304,-534,-1672,3750,44.48
1238351,-2783,896,-2332,92,-1916,3846,44.48
1238371,-2671,1616,-2288,338,-2186,4140,44.48
1238391,-2895,2492,-2132,-187,-2564,4565,44.29
1238411,-2579,2808,-1740,-966,-3053,5115,44.67
1238431,-2235,3276,-1520,-1467,-3245,5651,44.39
1238451,-2539,3788,-836,-1832,-3409,6274,44.39
1238471,-3351,4280,-744,-2075,-3898,7087,44.34
1238491,-3619,4772,-496,-2404,-4927,8367,44.48
1238511,-3575,4512,-592,-2376,-5965,9784,44.48
1238531,-4659,3612,-1572,-1414,-6816,10940,44.48
1238551,-5339,2844,-2864,-986,-7704,11832,44.39
1238571,-6555,1476,-4504,914,-7544,11079,44.58
1238591,-6711,380,-6408,3588,-6388,9073,44.39
1238611,-5827,-616,-7768,7263,-4632,5704,44.20
1238631,-4563,-164,-8004,10776,-2271,1797,44.39
1238651,-2311,-308,-6956,13000,-133,-1811,44.20
1238671,1097,-1812,-7044,14005,1841,-4284,44.29
1238691,3021,-1404,-6300,14363,3646,-6124,44.48
1238711,3825,-252,-5532,12673,4421,-7785,44.34
1238731,5149,-184,-4352,8811,4596,-9488,44.48
1238751,5665,1128,-3620,4345,4764,-10734,44.48
1238771,6033,828,-3244,-351,4570,-11879,44.48
1238791,4501,1224,-776,-5473,4384,-12509,44.34
1238811,-1227,2028,1460,-9629,4990,-12840,44.34
1238831,-11375,3708,2564,-12382,3893,-13594,44.20
1238851,-18519,5468,2884,-12024,414,-15075,44.53
1238871,-17895,5748,4620,-7914,-2548,-14572,44.29
1238891,-11915,7180,7180,-1173,-3453,-10069,44.20
