mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778269527.0705345,24673,-4.42,3.14,6.50,-5.11,2.20,-3.09
1778269527.0715113,24695,-4.50,3.20,6.81,-4.69,2.22,-2.91
1778269527.1294863,24717,-4.71,3.05,6.57,-3.28,2.50,-3.72
1778269527.130918,24739,-4.52,3.18,6.77,-3.49,2.71,-2.92
1778269527.13209,24761,-4.46,3.24,6.79,-2.03,3.25,-2.68
1778269527.1894429,24783,-4.47,3.11,6.72,0.08,4.63,-2.08
1778269527.190953,24805,-4.54,3.02,6.79,1.62,5.88,-3.14
1778269527.2497795,24827,-4.61,3.24,6.77,0.96,6.93,-3.07
1778269527.2509518,24849,-4.66,3.17,6.68,0.68,7.72,-3.46
1778269527.2518353,24871,-4.65,3.22,6.62,0.10,7.02,-4.30
1778269527.3099902,24893,-4.66,3.31,6.69,0.02,6.47,-6.95
1778269527.3112261,24915,-4.52,3.19,7.06,2.17,10.25,-9.95
1778269527.3119004,24937,-4.56,3.31,6.57,8.24,20.89,-15.67
1778269527.3692703,24959,-4.39,3.24,6.86,12.79,34.85,-19.85
1778269527.370984,24981,-4.13,3.93,6.56,17.29,56.34,-31.77
1778269527.3717065,25003,-3.70,4.64,6.03,6.69,87.35,-52.92
1778269527.429486,25025,-5.00,5.67,7.25,-29.10,111.19,-76.05
1778269527.4307017,25047,-6.20,4.62,7.29,-72.25,126.58,-102.63
1778269527.4893596,25069,-6.74,3.87,7.13,-89.00,131.98,-130.41
1778269527.5496182,25091,-7.22,2.56,6.55,-66.20,138.49,-152.66
1778269527.5506952,25113,-8.19,8.61,11.04,-36.97,117.49,-139.44
1778269527.5516815,25135,-1.47,13.15,11.97,-23.83,8.74,-77.05
1778269527.5524123,25157,0.30,9.82,8.83,-11.69,-34.87,-51.09
1778269527.5531566,25179,-1.36,9.66,8.78,6.02,-74.43,-30.05
1778269527.6096787,25201,-1.83,8.83,7.52,8.09,-102.85,-4.37
1778269527.610639,25223,-2.56,7.96,5.89,15.47,-111.63,24.56
